ӄԓявыԓя риӄукэтэ ивнин ытри ынкы варкыт гынин ӈэвъэн гэԓгыԓин мэмыԓя рагтыгъэ	р и ӄ у к э т э _ # _ ы т р и _ # _ # _ г ы н и н _ ӈ э в ъ э н _ г э ԓ г ы ԓ и н _ # _ # _
ӄԓявыԓ ынкъам купрэн ынанъомрычьын	ы н к ъ а м _ # _ # _
рытэнмавнэн ынӄо эргатык эквэтгъэт копрантыватысӄэквъат	ы н ӄ о _ э р г а т ы к _ э к в э т г ъ э т _ # _
риӄукэтэ гамгаваны нэнайӈоткоӄэн ӄоԓ	г а м г а в а н ы _ # _ ӄ о ԓ _
ԓьунин ынӄо йыӈотконэн	ы н ӄ о _ # _
эвын коԓё	к о ԓ ё _
тыкгаткэта ивнин риӄукэтэ	и в н и н _ р и ӄ у к э т э _
йыӈотконэн эвын коԓё	э в ы н _ к о ԓ ё _
тыкгаткэта	
ивнин риӄукэтэ ынкы	р и ӄ у к э т э _ ы н к ы _
рытваннэнат риӄукэтэ ивнин	р и ӄ у к э т э _ и в н и н _
мачынан ынкы нытваркын ынӄо	ы н к ы _ н ы т в а р к ы н _ # _
эргатык купрэт ёпаннэнат эвын гакваԓен	к у п р э т _ # _ # _ # _
ӈавмэмыԓчыӈын ынӄо рырагтаннэн ынкъам	ы н ӄ о _ р ы р а г т а н н э н _ ы н к ъ а м _
тэнуйгын йыннин	й ы н н и н _
ыттъын ратвынэн рывэнӈынин	р а т в ы н э н _ # _
авынаёԓьэты ԓинԓиӈ йытонэн мэмыԓыткынык рытриԓнин ынӄо ӄԓявыԓ	ԓ и н ԓ и ӈ _ й ы т о н э н _ м э м ы ԓ ы т к ы н ы к _ # _ ы н ӄ о _ ӄ ԓ я в ы ԓ _
ӈытогъэ этъоӄайӄын рэсӄиквъи ԓюур	э т ъ о ӄ а й ӄ ы н _ # _ ԓ ю у р _
рымъэйӈэнин ӄԓявыԓя	ӄ ԓ я в ы ԓ я _
ивнин ивнин ӈэвъэнйыръэ с амыным	и в н и н _ # _ # _ # _
аны ԓыгитэнчимгъуԓьын ӈэвысӄэтӄэй чама	ԓ ы г и т э н ч и м г ъ у ԓ ь ы н _ # _ ч а м а _
ныԓгэнываӈэӄэн ытԓыгэ ытԓьата	ы т ԓ ы г э _ ы т ԓ ь а т а _
ынкъам	
ытԓенъюрык гыԓёо ныԓгыӄин ытԓён энмэн	г ы ԓ ё о _ н ы ԓ г ы ӄ и н _ ы т ԓ ё н _ э н м э н _
ӄуԓинымнымык	
ӄоԓ гатъыԓыӈоԓен ӈэвысӄэтӄэй амыным	г а т ъ ы ԓ ы ӈ о ԓ е н _ # _ а м ы н ы м _
аны ԓыгитэнчимгъуԓьын ӈэвысӄэтӄэй чама ныԓгэнываӈэӄэн ытԓыгэ ытԓьата ынкъам ытԓенъюрык гыԓёо ныԓгыӄин ытԓён ынкыым мэтчымчек нытваӄэн нымнымӄэйык ӄоԓ эӈэӈыԓьын	ԓ ы г и т э н ч и м г ъ у ԓ ь ы н _ # _ ч а м а _ # _ # _ ы т ԓ ь а т а _ # _ ы т ԓ е н ъ ю р ы к _ # _ н ы ԓ г ы ӄ и н _ ы т ԓ ё н _ ы н к ы ы м _ # _ # _ н ы м н ы м ӄ э й ы к _ # _ э ӈ э ӈ ы ԓ ь ы н _
ӄынвэр ытԓыгын иквъи	ы т ԓ ы г ы н _ и к в ъ и _
наӄам ӈутку варкын мэтчымче	ӈ у т к у _ # _ м э т ч ы м ч е _
нымнымӄэйык ԓыӈыр амытва рытъё эӈэӈыԓьын ӈэвъэнэ ивнин юрэӄым нъынмэԓевэннин наӄам	ԓ ы ӈ ы р _ а м ы т в а _ р ы т ъ ё _ э ӈ э ӈ ы ԓ ь ы н _ # _ # _ ю р э ӄ ы м _ # _ # _
ытԓенъюӄэгти нытэргыръоӄэнат ԓиӈвиттэ чакэттэты эквэтгъи	н ы т э р г ы р ъ о ӄ э н а т _ ԓ и ӈ в и т т э _ ч а к э т т э т ы _ э к в э т г ъ и _
ытԓыгын аӈаӈыԓьэты пыкиргъи нымнымӄэйык иквъэт эмитԓёным	а ӈ а ӈ ы ԓ ь э т ы _ # _ н ы м н ы м ӄ э й ы к _ # _ э м и т ԓ ё н ы м _
ынин яраӈы ӄытгъи ӈэнри ярачыкогты рэсӄиквъи ԓюур вай начайпатгъан чайпанмаым нывэтгавчетӄэнат нэнамӈыԓёӄэн рэмкыԓьын	я р а ӈ ы _ ӄ ы т г ъ и _ # _ # _ # _ # _ в а й _ н а ч а й п а т г ъ а н _ # _ н ы в э т г а в ч е т ӄ э н а т _ н э н а м ӈ ы ԓ ё ӄ э н _ # _
мэӈӄо етгъи чаёпԓыткогъат ынӄо эквэтгъэт пыкиргъэт ԓыгэн	е т г ъ и _ ч а ё п ԓ ы т к о г ъ а т _ # _ э к в э т г ъ э т _ п ы к и р г ъ э т _ ԓ ы г э н _
эвыр йъонэн тъытԓьэн эчги	й ъ о н э н _ # _ # _
вуԓӄытвигъи ынраӄ эԓьоткомгой коԓё	ы н р а ӄ _ э ԓ ь о т к о м г о й _ # _
аны ныԓгикэԓьэткуԓьэтӄин чама ԓыгэн ныԓгэярарпэгԓяръоӄэн наӄам тъытԓьэн ыныкгиӈкы нинэнтыӄин эргатык ԓыгинъэ кыеквъи эӈэӈыԓьын	н ы ԓ г и к э ԓ ь э т к у ԓ ь э т ӄ и н _ # _ ԓ ы г э н _ н ы ԓ г э я р а р п э г ԓ я р ъ о ӄ э н _ # _ т ъ ы т ԓ ь э н _ # _ н и н э н т ы ӄ и н _ э р г а т ы к _ # _ # _ э ӈ э ӈ ы ԓ ь ы н _
рыгъевнин тъытԓьэн ынкы вусӄымчыку нэнанпэгԓяръовӄэн	т ъ ы т ԓ ь э н _ ы н к ы _ в у с ӄ ы м ч ы к у _ # _
ԓыгэн икумиӈкыри нинэнтивыӄин	и к у м и ӈ к ы р и _ # _
ынӄо тъэче кивыткугъиым иквъи итыкым	т ъ э ч е _ # _ и к в ъ и _ и т ы к ы м _
вай ԓыгэн ӈэранъыԓё рэмэԓеквъэ нивӄинэт авынраԓьыт вынэ ынан мытрэркурӈын ӄынвэр рагтыгъэ эӈэӈыԓьын авынраԓьа ыныкагты	ԓ ы г э н _ ӈ э р а н ъ ы ԓ ё _ # _ н и в ӄ и н э т _ # _ # _ # _ м ы т р э р к у р ӈ ы н _ # _ р а г т ы г ъ э _ # _ а в ы н р а ԓ ь а _ # _
нэймитын ԓыгэчьыԓьын раквытчыӈын ынкъам ԓымӈэ мооӄор	ԓ ы г э ч ь ы ԓ ь ы н _ р а к в ы т ч ы ӈ ы н _ ы н к ъ а м _ ԓ ы м ӈ э _ м о о ӄ о р _
ынӄоры рэмкын	р э м к ы н _
эраткомгоӈӈой аны таӈэтъо	а н ы _ т а ӈ э т ъ о _
ӈэвысӄэтӄэй гаԓгэтъыԓыӈоԓен тэкэм ԓюур вай эрама	г а ԓ г э т ъ ы ԓ ы ӈ о ԓ е н _ # _ ԓ ю у р _ # _ э р а м а _
въигъи наӄам ӄытԓыги ԓюӈынмэԓевэтэ рыннин	н а ӄ а м _ # _ # _ # _
ынӄоым ынӄэн эӈэӈыԓьын	ы н ӄ э н _ # _
танԓёнръэԓягта гитԓин ԓыгэн таӈӄонпы эвытрыкэ гэнъэтԓин	г и т ԓ и н _ ԓ ы г э н _ т а ӈ ӄ о н п ы _ э в ы т р ы к э _ # _
этъым ԓыгэыяагты гаяԓгытԓен ымто амын ӄэгԓынангэт эты эӈэӈыԓьыт ныԓгинъыръыӄинэт с энмэн нивӄин ынанчинит ынӄэн	ԓ ы г э ы я а г т ы _ # _ ы м т о _ а м ы н _ # _ # _ # _ # _ с _ э н м э н _ н и в ӄ и н _ ы н а н ч и н и т _ # _
гатваԓен тэԓенъеп энмэн нивӄин ынанчинит эвыр	т э ԓ е н ъ е п _ # _ н и в ӄ и н _ ы н а н ч и н и т _ # _
мэӈин ратъыԓыӈоркын	р а т ъ ы ԓ ы ӈ о р к ы н _
ӄэнагтыркынэтык ымыԓьо амӄынъычо	ы м ы ԓ ь о _ а м ӄ ы н ъ ы ч о _
нинивӄинэт ымыԓьо гатакэчгыӄайма ӄитгытык ӄываԓёмгытык ыныкит	ы м ы ԓ ь о _ # _ # _ ӄ ы в а ԓ ё м г ы т ы к _ ы н ы к и т _
ыннэн уйӈэ	у й ӈ э _
этэкичгыӄэйкэ ритгъэ ӄоԓ	р и т г ъ э _ ӄ о ԓ _
ынин ройыръыкэн рэвъигъэ эргатык ӄытръугъэт ымыԓьо гэтэкичгэ гитԓинэт ӄоԓетъыԓё ӄутынин	р о й ы р ъ ы к э н _ # _ э р г а т ы к _ ӄ ы т р ъ у г ъ э т _ # _ г э т э к и ч г э _ # _ ӄ о ԓ е т ъ ы ԓ ё _ # _
экык тъыԓыӈогъэ эргатык	т ъ ы ԓ ы ӈ о г ъ э _ # _
йыннэн	
эӈэӈыԓьын иквъи эӈэӈыԓьэ	и к в ъ и _ э ӈ э ӈ ы ԓ ь э _
ивнин эргатык ӄытгъи эӈэӈыԓьын	э р г а т ы к _ ӄ ы т г ъ и _ э ӈ э ӈ ы ԓ ь ы н _
эвын гъэӄэрэԓин тъытԓьэн	г ъ э ӄ э р э ԓ и н _ # _
атав иԓьуткугъи авынэԓьоткогты въигъи	и ԓ ь у т к у г ъ и _ # _ в ъ и г ъ и _
экык ԓюур	ԓ ю у р _
ытԓыгын иквъи эӈэӈыԓьэ пынԓёнэнат еп гымнан гымнин иԓьуткукэԓы эйӈэвкэ еп	и к в ъ и _ э ӈ э ӈ ы ԓ ь э _ # _ # _ # _ # _ # _ # _ е п _
эпкиркэ въигъи ыныкит нъыпкиргъэн	в ъ и г ъ и _ # _ # _
ӄырым нъывъигъэн этынва пынԓёнэн	н ъ ы в ъ и г ъ э н _ # _ п ы н ԓ ё н э н _
эӈэӈыԓьэ ивнин этынва пынԓёнэн	и в н и н _ # _ п ы н ԓ ё н э н _
эӈэӈыԓьын иквъи ыныкит энамынгыкватка ринэнтыӈ нэмэ ӄоԓ	и к в ъ и _ ы н ы к и т _ # _ # _ н э м э _ ӄ о ԓ _
рэвъигъэ экык	э к ы к _
этынва ивнин мынгыкво йыԓнинэт мытԓыӈэн ӄорат	и в н и н _ м ы н г ы к в о _ # _ м ы т ԓ ы ӈ э н _ # _
ӈирэӄ ыттъыт ӈыроӄ	ы т т ъ ы т _ # _
игнэԓгыт эӈэӈыԓьын рагтыгъэ нэмэ	э ӈ э ӈ ы ԓ ь ы н _ р а г т ы г ъ э _ н э м э _
ӄоԓ экык тъыԓыӈогъэ нэмэ йыннэн эӈэӈыԓьын нэмэ	э к ы к _ # _ # _ й ы н н э н _ # _ # _
ӄытгъи иԓьуткугъи ынкъам иквъи ӄэнамынгыкватгэ пытӄымыкыӈ мынгыкваннэн эквэтгъи	и ԓ ь у т к у г ъ и _ # _ и к в ъ и _ ӄ э н а м ы н г ы к в а т г э _ # _ м ы н г ы к в а н н э н _ э к в э т г ъ и _
эӈэӈыԓьын ԓыгэн эквэтгъи въигъи	ԓ ы г э н _ э к в э т г ъ и _ в ъ и г ъ и _
тъытԓьэн ытԓыгын	ы т ԓ ы г ы н _
иквъи эккэт	э к к э т _
тэԓпыркыт ынраӄ ӈээкык тъыԓыӈогъэ	ы н р а ӄ _ ӈ э э к ы к _ # _
нэмэ	
эӈэӈыԓьын йыннэн	й ы н н э н _
ивнин эӈэӈыԓьын	э ӈ э ӈ ы ԓ ь ы н _
нэмэ ӄытгъи нэмэ иԓьуткугъи	ӄ ы т г ъ и _ н э м э _ и ԓ ь у т к у г ъ и _
иквъи ытԓыгэ	ы т ԓ ы г э _
ивнин этынва	э т ы н в а _
ивнин	
эӈэӈыԓьын иквъи анӈэнайпыгъэ эӈэӈыԓьын	и к в ъ и _ а н ӈ э н а й п ы г ъ э _ # _
эквэтгъи ԓёгмынгыквата ымыԓьо ԓюӈвъитэ	ԓ ё г м ы н г ы к в а т а _ # _ ԓ ю ӈ в ъ и т э _
итгъэт ынӄоры эӈэӈыԓьын эӄу нэтчын	ы н ӄ о р ы _ # _ # _ # _
ымыԓьо нивӄинэт	н и в ӄ и н э т _
ымыԓьорык эӄу нэтчын ынӈин	э ӄ у _ # _ # _
тэԓенъепкин эӈэӈыԓьыт нырагаймычьавӈыӄэнат с ыԓвыԓю эԓек нынмыткоӄэн ипэ	э ӈ э ӈ ы ԓ ь ы т _ # _ с _ ы ԓ в ы ԓ ю _ # _ # _ # _
ӄоԓ итгъэт увиԓьэтгъэт ыԓвытъуԓе	и т г ъ э т _ у в и ԓ ь э т г ъ э т _ # _
ԓыгэн ынкы напэԓянат уӄӄэмчыку эръэйыръын ынкъам	ы н к ы _ н а п э ԓ я н а т _ у ӄ ӄ э м ч ы к у _ э р ъ э й ы р ъ ы н _ ы н к ъ а м _
ыпаԓгын эвын	э в ы н _
етгъэт рэӄэ	р э ӄ э _
ыпаԓгын гаткоӈӈоԓен ымы эръэт гэтъэттывиԓинэт ӄоԓ	г а т к о ӈ ӈ о ԓ е н _ # _ э р ъ э т _ # _ # _
ынээԓьын иквъи кита	и к в ъ и _ к и т а _
ӄоԓ чайвыткоӈӈок ныпэԓятын	ч а й в ы т к о ӈ ӈ о к _ # _
атав гынрыру мыныԓгын	г ы н р ы р у _ # _
ръэнут	
рэркын мури амӄынӈыток	м у р и _ а м ӄ ы н ӈ ы т о к _
ымыԓьо ыԓвэгиԓигъэт ӈыраӄав пэԓятгъэ ынанӈэнчьан	ы ԓ в э г и ԓ и г ъ э т _ # _ п э ԓ я т г ъ э _ ы н а н ӈ э н ч ь а н _
пэԓятыйгот нэнтын тытԓык атчыгъэ ынӄэн оравэтԓьан	н э н т ы н _ т ы т ԓ ы к _ # _ # _ # _
эвын амгынотъыԓё нынъэԓӄин	а м г ы н о т ъ ы ԓ ё _ # _
ԓюур	
ранмэйпык	
вииԓетгъи ԓыгэн ынкы	ԓ ы г э н _ ы н к ы _
эӄуԓикэ нъатчаӄэн эмӄэԓеԓвынэ нивӄин вэчьым	н ъ а т ч а ӄ э н _ # _ # _ в э ч ь ы м _
ӈотӄэн ныетӄин эвын	н ы е т ӄ и н _ # _
рэгъи	
таӈамъыттъымъеквэйӈын ӈэвъэнйыръын авэтываӄ ӄԓявыԓя пэнрынэн аны энмэн гэтэйкэвԓинэт ԓюур амъыттъымъеквэйӈа	ӈ э в ъ э н й ы р ъ ы н _ а в э т ы в а ӄ _ ӄ ԓ я в ы ԓ я _ # _ # _ э н м э н _ г э т э й к э в ԓ и н э т _ # _ # _
авынтайкавэты ивнин йъарат	и в н и н _ й ъ а р а т _
амӄԓявыԓторэ варкынэтык	в а р к ы н э т ы к _
яйвачгыргыторэ	
вэԓерым	
ваӈэԓьо митыркын аны энмэн оравэтԓьаӄай	м и т ы р к ы н _ а н ы _ э н м э н _ о р а в э т ԓ ь а ӄ а й _
гувиԓьэтԓин амъыттъымъеквэйӈын тыргэтъюунин гыргоча	а м ъ ы т т ъ ы м ъ е к в э й ӈ ы н _ т ы р г э т ъ ю у н и н _ г ы р г о ч а _
ыпаԓга	
энайпаннэн ынӄо иквъи	ы н ӄ о _ и к в ъ и _
ӈэвъэнйыръын тагам ораӈанӄо ӄыԓиги ԓыганԓыгъэ	т а г а м _ о р а ӈ а н ӄ о _ # _ ԓ ы г а н ԓ ы г ъ э _
оравэтԓьан 	_
ӈэвъэнйыръэ ивнин эвын	и в н и н _ # _
гитэнин 	_
йыӄӄайъым ӈэвъэнйыръын ынкы	ӈ э в ъ э н й ы р ъ ы н _ # _
гитэнин оравэтԓьата	о р а в э т ԓ ь а т а _
ивнин матанэн еп чейвыткуԓьыт	м а т а н э н _ # _ # _
эпкиркэ увиԓьэтгъи ӈэвъэнйыръын	у в и ԓ ь э т г ъ и _ # _
ԓюур пыкиргъэт ӈыроргарэ ӈытогъэ	п ы к и р г ъ э т _ ӈ ы р о р г а р э _ # _
ӈэвъэнйыръын ԓыгэкоргаквъат ынинэԓьыт рэгъэт чоттагнэты	ԓ ы г э к о р г а к в ъ а т _ ы н и н э ԓ ь ы т _ р э г ъ э т _ ч о т т а г н э т ы _
ынанынпычьа матанэн	м а т а н э н _
ӄоԓ анӈэнайпыгъэ	а н ӈ э н а й п ы г ъ э _
инэԓьуԓьын чейвыткугъэт	ч е й в ы т к у г ъ э т _
нэмэ ӈыроргарэ	ӈ ы р о р г а р э _
ӄоԓ пэԓятгъэ ёрочыко нъэптыӄин ӈэвъэнйыръын	п э ԓ я т г ъ э _ # _ # _ # _
ӄԓявыԓ рэсӄиквъи	р э с ӄ и к в ъ и _
ивнин вынэ	в ы н э _
ӄырым эԓгыӄай эйминнин	э ԓ г ы ӄ а й _ # _
чит выԓгыпыркынэн ԓюур	в ы ԓ г ы п ы р к ы н э н _ ԓ ю у р _
вытры иргъи оравэтԓьан тымнэн ӄытԓыги эӄыԓпэ нэԓгычыку рычымӄэннин кыԓтынин майык	и р г ъ и _ о р а в э т ԓ ь а н _ # _ # _ # _ # _ # _ к ы ԓ т ы н и н _ м а й ы к _
рыннин чейвыткуԓьыт етгъэт	ч е й в ы т к у ԓ ь ы т _ # _
ӈэвъэнйыръын никвъэн	н и к в ъ э н _
ӈэвысӄэтэ ивнинэт	и в н и н э т _
ынръам ӄоԓ пэԓятгъэ ынанынпычьын майгэӈкы	ӄ о ԓ _ п э ԓ я т г ъ э _ # _ # _
ныгатгаткоӄэн ԓюур	ԓ ю у р _
ԓявтэты ръэнут эрэтгъи маԓенэн эвыр	р ъ э н у т _ э р э т г ъ и _ м а ԓ е н э н _ # _
гитэнин мутԓымуԓ иквъи эмӄэԓеԓвынэ	м у т ԓ ы м у ԓ _ # _ # _
ынръам ръэнут нэмэ	р ъ э н у т _ н э м э _
гатгаткоӈӈогъэ нэмэ йиннин мутԓе ӄынвэр	н э м э _ й и н н и н _ # _ ӄ ы н в э р _
наԓгымай рырыткунин 	р ы р ы т к у н и н _ _
эвын ынкы ԓьунин ыргин ытԓеӈи ӄытԓыги	ы н к ы _ ԓ ь у н и н _ ы р г и н _ # _ # _
ӈавъанйыръиӈа ганмыԓен ԓыгэн авъеткынка нэмэ	г а н м ы ԓ е н _ ԓ ы г э н _ # _ н э м э _
румэкэвнин	
ӄутти	
ытԓенъют етгъэт 	е т г ъ э т _ # _
винвэ ивнинэт	и в н и н э т _
ынӄо эргатык ымыԓьо чейвыткугъэт нутэк	э р г а т ы к _ ы м ы ԓ ь о _ ч е й в ы т к у г ъ э т _ # _
увэрайӈын	
нэтэйкын	
аны таӈымъыԓёӈэт гэкымъыгичиԓинэт ԓыгэн	т а ӈ ы м ъ ы ԓ ё ӈ э т _ # _ ԓ ы г э н _
увэрайӈык ныёԓьатӄэнат ӄынвэр ыттъымиԓ майӈаӈӈогъат кымъыгинив нэтэйкын аны таӈымъыԓёӈэт	н ы ё ԓ ь а т ӄ э н а т _ ӄ ы н в э р _ ы т т ъ ы м и ԓ _ # _ к ы м ъ ы г и н и в _ н э т э й к ы н _ а н ы _ т а ӈ ы м ъ ы ԓ ё ӈ э т _
гэкымъыгичиԓинэт	
ԓыгэн увэрайӈык ныёԓьатӄэнат ӄынвэр ыттъымиԓ майӈаӈӈогъат	у в э р а й ӈ ы к _ # _ ӄ ы н в э р _ ы т т ъ ы м и ԓ _ # _
кымъыгинив ынӄо эргатык ӈэвъэнйыръын нываӈэӄэн чотыткынык	ы н ӄ о _ э р г а т ы к _ ӈ э в ъ э н й ы р ъ ы н _ # _ ч о т ы т к ы н ы к _
ԓюур кагынмыткыната ӄочеԓгыԓгыӄай ԓьунин ӈэвъэнйыръын иквъи	к а г ы н м ы т к ы н а т а _ # _ ԓ ь у н и н _ ӈ э в ъ э н й ы р ъ ы н _ # _
ӄочеԓгыԓгыӄай ԓюур иквъи ивкэ ӄун миквыт	ԓ ю у р _ и к в ъ и _ и в к э _ # _ # _
гыныкы нэтэйкын	н э т э й к ы н _
нутэк увэрайӈын ӄэгԓын эргатык чайвытконвэпы	у в э р а й ӈ ы н _ # _ э р г а т ы к _ ч а й в ы т к о н в э п ы _
етык никвъэн ӈэвысӄэтэ ивнинэт виин ӈотӄэнат чемынгыт ӄынчичьэркыниткы кэргымма	н и к в ъ э н _ ӈ э в ы с ӄ э т э _ # _ в и и н _ # _ # _ # _ к э р г ы м м а _
ԓюур эвыр нэгитэн гагыргоԓятԓен нырэпириӈӄин	э в ы р _ # _ # _ # _
ныԓвавӄэн пирик гыргоԓятгъэ	п и р и к _ # _
ӄытԓыги ӄучиԓгыӄэе	ӄ у ч и ԓ г ы ӄ э е _
гангыргоԓявԓен ныпичгыӄин вэгрэтэм	н ы п и ч г ы ӄ и н _ в э г р э т э м _
с ганымыԓьавԓен нынну ынкы вэгрэтэм	г а н ы м ы ԓ ь а в ԓ е н _ # _ ы н к ы _ в э г р э т э м _
аны ытԓён таӈвэнъым ныпичгыӄин	ы т ԓ ё н _ т а ӈ в э н ъ ы м _ # _
тэӈпэнин ӄонратваԓьын ымыӈ	ӄ о н р а т в а ԓ ь ы н _ ы м ы ӈ _
нымным ванэван чымче	в а н э в а н _ # _
нытван миӈкыри	м и ӈ к ы р и _
ӄун найыԓгавӄэн	н а й ы ԓ г а в ӄ э н _
рэԓӄынӈыт мэӈӄокэнат	м э ӈ ӄ о к э н а т _
рэмкыԓьыт кытамчачва	к ы т а м ч а ч в а _
ынкъам ынӄэната	ы н ӄ э н а т а _
найыԓгавӄэн наӄам ытԓён ԓымыԓьын ӈирэнӈэвыԓьын	н а ӄ а м _ # _ ԓ ы м ы ԓ ь ы н _ # _
ытԓён еп	е п _
ԓыгэн аатчек	а а т ч е к _
эквыргъам ԓыгэн гэԓеԓютԓин	ԓ ы г э н _ # _
эвын ԓыгэн гэмэчынпэвыԓгэтԓин	ԓ ы г э н _ г э м э ч ы н п э в ы ԓ г э т ԓ и н _
ӄуԓитгивик ӄоԓ	ӄ о ԓ _
ӈэвъэн рыԓейвынин ӄаагты ынкы	р ы ԓ е й в ы н и н _ # _ ы н к ы _
эвын гагроръоԓен ӄаат эвын	г а г р о р ъ о ԓ е н _ # _ э в ы н _
ныгръоӄэнат	
ӈэнку ӄаатагнык	ӄ а а т а г н ы к _
гытгык ӄача пэнъёԓгын нэтэйкын наӄам ӈэйгиӈкы нытваӄэн	ӄ а ч а _ п э н ъ ё ԓ г ы н _ # _ # _ # _ # _
эвыр	
ӈэԓвыԓ гытоԓыӈкы	г ы т о ԓ ы ӈ к ы _
нытваӄэн тэкэм	т э к э м _
пэтыкэԓвайынвык увэмгогъат	у в э м г о г ъ а т _
ынкы пэтыраԓӄаӈынвык	п э т ы р а ԓ ӄ а ӈ ы н в ы к _
пэтырытын ныԓгинымкыӄин	н ы ԓ г и н ы м к ы ӄ и н _
нарычгытваӄэн ывэӄуч	ы в э ӄ у ч _
